Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 058: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00409, 'Zinc Stearate']
Row 059: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
Row 060: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'Packing Tape']
Row 061: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 062: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 063: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 064: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.96, 'Cartons']
Row 065: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.004094, 'Zinc Stearate']
Row 066: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
Row 067: [5731, 32, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 45 DIA 20.5 MM', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 2.996, 'Packing Tape']
Row 068: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 069: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 070: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 071: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.96, 'Cartons']
Row 072: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00409, 'Zinc']
Row 073: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
Row 074: [5732, 33, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 43 DIA 20.5 MM', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 2.996, 'Tape']
Row 075: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 076: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 077: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 078: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.9607, 'Cartons']
Row 079: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00409, 'Zinc Stearate']
Row 080: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
