Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 284: [8009, 809, 'Mablay Beauty PVT LTD.', 'TRANSPARENT BOTTLE 300ML', '300 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 11.111, 'Poly Bag']
Row 285: [8009, 809, 'Mablay Beauty PVT LTD.', 'TRANSPARENT BOTTLE 300ML', '300 ml', 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.179, 'Packing Tape']
Row 286: [8009, 809, 'Mablay Beauty PVT LTD.', 'TRANSPARENT BOTTLE 300ML', '300 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 287: [8013, 813, 'Mablay Beauty PVT LTD.', 'TRANSPARENT JAR 500ML', '500 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 50, 'PET Resin']
Row 288: [8013, 813, 'Mablay Beauty PVT LTD.', 'TRANSPARENT JAR 500ML', '500 ml', 'MASTER CARTON', 3621, 'MASTER CARTON 34.7 X 59.5 X 34.5', 'PCS', 2.778, 'Master Carton']
Row 289: [8013, 813, 'Mablay Beauty PVT LTD.', 'TRANSPARENT JAR 500ML', '500 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 16.667, 'Poly Bag']
Row 290: [8013, 813, 'Mablay Beauty PVT LTD.', 'TRANSPARENT JAR 500ML', '500 ml', 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.069, 'Packing Tape']
Row 291: [8013, 813, 'Mablay Beauty PVT LTD.', 'TRANSPARENT JAR 500ML', '500 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 292: [8014, 814, 'Samsol International Private Limited', 'BT-200ML MUSTARD OIL (TRANSPARENT)', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 23.75, 'PET Resin']
Row 293: [8014, 814, 'Samsol International Private Limited', 'BT-200ML MUSTARD OIL (TRANSPARENT)', '200 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 294: [8014, 814, 'Samsol International Private Limited', 'BT-200ML MUSTARD OIL (TRANSPARENT)', '200 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 295: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'SLUG', 2, '30X4.3', 'kg', 8, 'SLUG']
Row 296: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'BASE COAT']
Row 297: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'CARTON', 45, '30X150 3Ply L18.75" W12.5" H6.5"', 'pcs', 6.6666, 'CARTON']
Row 298: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'ZINC POWDER', 4165, 'Zinc Archinate', 'kg', 0.00832, 'ZINC POWDER']
Row 299: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'JALI', 57, '30X150 J', 'pcs', 6.6666, 'JALI']
Row 300: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'LACQUER']
Row 301: [2909, 56, 'Professional Beauty Solution (Pvt) Ltd.Pakistan', 'EAZI COLOR PERMANENT HAIR COLOUR 60ML', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'TAPE']
Row 302: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.9171, 'SLUG']
Row 303: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.09, 'LATEX']
Row 304: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'CAP', 3522, 'M-11 S/M SPR DARK BLUE DIA 25MM', 'PCS', 1000, 'CAP']
Row 305: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'CARTON', 3598, '25x336 5Ply L21.5" W14.5" H7 "', 'PCS', 2.9761, 'CARTON']
Row 306: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'ZINC POWDER']
Row 307: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.4202, 'LACQUER']
Row 308: [4227, 20, 'Professional Beauty Solution (Pvt) Ltd', 'BELINI HAIR COLOR 50ML', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'TAPE']
Row 309: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 310: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 311: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 312: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 313: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00615, 'Zinc Stearate']
Row 314: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.292, 'Lacquer']
Row 315: [5389, 35, 'Samsol International Private Limited', 'S-45', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 316: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'SLUG', 2, '30X4.3', 'kg', 8, 'SLUG']
Row 317: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'BASE COAT']
Row 318: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.28, 'LATEX']
Row 319: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30 SCABIN', 'pcs', 1000, 'CAP']
Row 320: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'CARTON', 3988, '35x180 5ply L21.5" W14.5" H8.5"', 'pcs', 4.2016, 'CARTON']
Row 321: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'ZINC POWDER', 4165, 'Zinc Archinate', 'kg', 0.00832, 'ZINC POWDER']
Row 322: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'LACQUER']
Row 323: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'TAPE']
Row 324: [6151, 146, 'Mateen Sons', 'GP DIA 30MM', 30, 'INK', 6935, 'GOLD V0221267-RF-401363', 'kg', 0.033, 'INK']
Row 325: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'SLUG', 19, '19X4.5 S/M', 'kg', 3.367, 'SLUG']
Row 326: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 23410 CT', 'kg', 0.31, 'BASE COAT']
Row 327: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'CAP', 80, 'M-9 S/M SPR WHITE DIA 19', 'pcs', 1000, 'CAP']
Row 328: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'CARTON', 3619, '20.5x510 5ply L21.5" W14.5" H6"', 'pcs', 1.7, 'CARTON']
Row 329: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0034, 'ZINC POWDER']
Row 330: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.1449, 'LACQUER']
Row 331: [6623, 193, 'Samsol International Private Limited', 'S-43 DIA 19MM', 19, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'TAPE']
Row 332: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'SLUG', 19, '19X4.5 S/M', 'kg', 3.367, 'SLUG']
Row 333: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 23410 CT', 'kg', 0.31, 'BASE COAT']
Row 334: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'CAP', 80, 'M-9 S/M SPR WHITE DIA 19', 'pcs', 1000, 'CAP']
Row 335: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'CARTON', 3619, '20.5x510 5ply L21.5" W14.5" H6"', 'pcs', 1.7, 'CARTON']
Row 336: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0034, 'ZINC POWDER']
Row 337: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.1449, 'LACQUER']
Row 338: [6624, 192, 'Samsol International Private Limited', 'S-45 DIA 19MM', 19, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'TAPE']
Row 339: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.1, 'PET Resin']
Row 340: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'MASTERBATCH', 5816, 'MASTER BATCH WHITE PRC-MC ET02340000', 'kg', 0.9, 'Master Batch']
Row 341: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'MASTER CARTON', 5977, 'MASTER CARTON 38"X24"X15.5"', 'PCS', 1.667, 'Master Carton']
Row 342: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 10, 'Poly Bag']
Row 343: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.042, 'Packing Tape']
Row 344: [8015, None, 'Mablay Beauty PVT LTD.', 'PET BOTTLE 130ML WHITE', '130 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 345: [8016, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE SMALL (120 ML) YELLOW', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.1, 'PET Resin']
Row 346: [8016, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE SMALL (120 ML) YELLOW', '120 ml', 'MASTERBATCH', 4070, 'MASTER BATCH ONCOLOR YELLOW NE12340208-ZN', 'kg', 0.9, 'Master Batch']
Row 347: [8017, None, 'ABID MASOOD KHAN', 'BT-300 ML TRANSPARENT', '300 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 25, 'PET Resin']
Row 348: [8018, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE LARGE (200ML) COMPACT BLACK', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 24.25, 'PET Resin']
Row 349: [8018, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE LARGE (200ML) COMPACT BLACK', '200 ml', 'MASTERBATCH', 7412, 'MASTER BATCH BLACK DP# 6411', 'kg', 0.75, 'Master Batch']
Row 350: [8019, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE SMALL (120ML) COMPACT BLACK', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.46, 'PET Resin']
Row 351: [8019, None, 'SAMSOL INTERNATIONAL PRIVATE LIMITED', 'PET BOTTLE SMALL (120ML) COMPACT BLACK', '120 ml', 'MASTERBATCH', 7412, 'MASTER BATCH BLACK DP# 6411', 'kg', 0.54, 'Master Batch']
Row 352: [8020, None, 'ALPHA LABS PVT LTD', 'PET BOTTLE (150ML)TRANSPARENT BODY MIST', '150 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 22, 'PET Resin']
Row 353: [8021, None, 'ABID MASOOD KHAN', 'BT-120 ML YELLOW', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.1, 'PET Resin']
Row 354: [8021, None, 'ABID MASOOD KHAN', 'BT-120 ML YELLOW', '120 ml', 'MASTERBATCH', 4070, 'MASTER BATCH ONCOLOR YELLOW NE12340208-ZN', 'kg', 0.9, 'Master Batch']
Row 355: [8022, None, 'ABID MASOOD KHAN', 'BT-200 ML YELLOW', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 23.75, 'PET Resin']
Row 356: [8022, None, 'ABID MASOOD KHAN', 'BT-200 ML YELLOW', '200 ml', 'MASTERBATCH', 4070, 'MASTER BATCH ONCOLOR YELLOW NE12340208-ZN', 'kg', 1.25, 'Master Batch']
Row 357: [8023, None, 'ABID MASOOD KHAN', 'BT-130 ML TRANSPARENT', '130 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 18, 'PET Resin']
Row 358: [8024, None, 'ALPHA LABS PVT LTD', 'PET BOTTLE (500ML) GREEN', '500 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 47.5, 'PET Resin']
Row 359: [8024, None, 'ALPHA LABS PVT LTD', 'PET BOTTLE (500ML) GREEN', '500 ml', 'MASTERBATCH', 6135, 'MASTER BATCH RENOL-GREEN NE60340193-MN', 'kg', 2.5, 'Master Batch']
